,time,3f0ãzçûâ∑ìx,3f1ãzçûâ∑ìx,3f2ãzçûâ∑ìx,3f3ãzçûâ∑ìx,3f4ãzçûâ∑ìx,3f5ãzçûâ∑ìx,3f6ãzçûâ∑ìx,3f7ãzçûâ∑ìx,3f8ãzçûâ∑ìx,3f9ãzçûâ∑ìx
771,2021-07-05 12:51:00,25.017805903480006,25.00585531843675,24.14807902097143,24.20855259828772,24.929512637996286,24.998725106458487,25.184495366818556,25.192506861473674,25.190470508723216,23.70713528964344
772,2021-07-05 12:52:00,25.013746133470338,25.003637624993612,24.16111383947145,24.21657249837259,24.927201353661804,24.99737737096364,25.184656949561266,25.19270743362863,25.190728839428672,23.703974332186466
773,2021-07-05 12:53:00,25.009848167505197,25.00148565814475,24.173648819692826,24.224362192453228,24.92498591488159,24.996074210349907,25.18481114406973,25.192898882050837,25.190978558669357,23.70093989951103
774,2021-07-05 12:54:00,25.00610515322413,24.999397661285855,24.18570424346534,24.23192868822116,24.92286220311995,24.9948142150397,25.18495817670721,25.19308162819441,25.19121999386969,23.69802788898413
775,2021-07-05 12:55:00,25.002510552178588,24.997371804379497,24.19729952634923,24.239278775431398,24.920826286020088,24.993596020436645,25.185098266401162,25.193256073795084,25.191453459874587,23.695234327386924
776,2021-07-05 12:56:00,24.999058137615446,24.99540629564756,24.208453256614,24.246419032996965,24.91887440856768,24.992418305453267,25.185231624889713,25.193422601990477,25.191679258838445,23.692555367096553
777,2021-07-05 12:57:00,24.995741940839626,24.99349938467284,24.21918323237514,24.25335583556067,24.917002984752077,24.99127979108892,25.185358456971827,25.193581578089532,25.19189767837822,23.68998728226152
778,2021-07-05 12:58:00,24.99255625846817,24.991649316594984,24.229506496977912,24.260095359887615,24.915208589634872,24.99017923905621,25.1854789607374,25.19373335039853,25.192108994361377,23.68752646512243
779,2021-07-05 12:59:00,24.989495640249253,24.98985438917941,24.239439372714692,24.266643591000705,24.91348795180212,24.989115450454,25.185593327791423,25.19387825106781,25.19231347166733,23.685169422426448
780,2021-07-05 13:00:00,24.986554877276696,24.988112951113585,24.24899749295836,24.27300632835794,24.91183794618075,24.98808726448537,25.185701743471824,25.19401659750197,25.192511364646048,23.68291277193649
781,2021-07-05 13:01:00,24.992573264450954,24.991220096885577,24.27397697602761,24.287535228994305,24.90922176481855,24.986430478394297,25.185897212393108,25.194234336667943,25.192776652142182,23.695745824461184
782,2021-07-05 13:02:00,24.998334404850453,24.99423932117985,24.29797632135916,24.30163912033535,24.906713187436715,24.98482823454243,25.186084312490788,25.194442026222344,25.19303279963901,23.708198754056987
783,2021-07-05 13:03:00,25.00385033303136,24.997173504170785,24.321036457961764,24.31533167155828,24.90430758715605,24.98327876496057,25.186263330576292,25.194640136214577,25.19328015939465,23.72028724962703
784,2021-07-05 13:04:00,25.009132120905555,25.000025341010765,24.343196156174766,24.328625522744503,24.902000602779783,24.981780404035252,25.186434537872078,25.19482911225916,25.19351906924059,23.73202264938937
785,2021-07-05 13:05:00,25.01419031535121,25.00279741623923,24.36449249903495,24.341532942828216,24.89978806691124,24.980331539241284,25.18659819559025,25.195009379288567,25.193749853269647,23.743415954800554
786,2021-07-05 13:06:00,25.019034964025092,25.00549218940246,24.38496095950386,24.354066135984105,24.89766599701195,24.978930609411393,25.18675455531889,25.195181342488087,25.19397282241817,23.754477836674557
787,2021-07-05 13:07:00,25.02367564011505,25.008112039858545,24.404635642644692,24.366237177192968,24.89563058688568,24.97757610306179,25.18690385939326,25.19534538811403,25.194188275022587,23.765218643353585
788,2021-07-05 13:08:00,25.028121465789344,25.010659269442314,24.423549409058595,24.37805797584598,24.89367819855921,24.976266556774377,25.18704634125093,25.195501884406852,25.194396497351715,23.775648409143216
789,2021-07-05 13:09:00,25.0323811343086,25.013136103985964,24.4417337424509,24.389540040791093,24.891805354546804,24.975000553633514,25.187182225771902,25.19565118241877,25.19459776411936,23.785776862101745
790,2021-07-05 13:10:00,25.036462942527017,25.01554465040068,24.459218741799088,24.400694739444624,24.89000873047945,24.973776721716128,25.187311729606648,25.19579361680478,25.19479233890716,23.79561343231492
791,2021-07-05 13:11:00,25.040374804769392,25.017886930312805,24.476033185644198,24.411533312061017,24.88828514809019,24.972593732632042,25.187435061491858,25.195929506578363,25.1949804747598,23.8051672600512
792,2021-07-05 13:12:00,25.04412428414273,25.020164904159753,24.49220459329774,24.422066354126816,24.88663156851738,24.971450300113894,25.18755242233994,25.19605915583354,25.195162414550552,23.814447203712398
793,2021-07-05 13:13:00,25.04771881797405,25.022380473274854,24.507759283107013,24.432303745198105,24.88504508591141,24.97034517865427,25.187664006077433,25.196182854434763,25.195338391411692,23.823461847667442
794,2021-07-05 13:14:00,25.051165499799446,25.02453548612792,24.522722426183186,24.44225503038967,24.88352292136716,24.9692771621885,25.18776999957965,25.19630087867555,25.195508629147586,23.83221950996085
795,2021-07-05 13:15:00,25.054471149701172,25.026631754505033,24.53711810308239,24.451929295202287,24.882062417123393,24.968245082821703,25.187870582846216,25.196413491907773,25.195673342622147,23.840729245072485
