time,3f0ãzçûâ∑ìx,3f1ãzçûâ∑ìx,3f2ãzçûâ∑ìx,3f3ãzçûâ∑ìx,3f4ãzçûâ∑ìx,3f5ãzçûâ∑ìx,3f6ãzçûâ∑ìx,3f7ãzçûâ∑ìx,3f8ãzçûâ∑ìx,3f9ãzçûâ∑ìx
2021-07-05 00:14:00,25.213249388941072,25.216926063810813,26.40049993740016,26.401164317232986,25.210701941345555,25.392645795346453,26.407541711171326,26.399846257459483,26.40001556847297,24.037017321335735
2021-07-05 00:15:00,25.214973109975336,25.21921900517203,26.40062359609986,26.401419339457256,25.212095526667646,25.40562200786045,26.409098419970142,26.39982923190384,26.400020131338437,24.04081819305866
2021-07-05 00:16:00,25.21677372953632,25.221631447048935,26.40076361385675,26.401705982415386,25.21355249861209,25.418492396193415,26.410767807670272,26.39981208096776,26.400025570661168,24.044748995165843
2021-07-05 00:17:00,25.21864720189326,25.224159372815297,26.40092048519304,26.402025372935395,25.21506977407003,25.431257176357818,26.412546127878123,26.399794906587974,26.400031974500234,24.04880577818251
2021-07-05 00:18:00,25.220589672728412,25.226798903649506,26.401094639310227,26.402378541506984,25.21664441737017,25.443916635847906,26.414429756239247,26.39977780521545,26.40003943163208,24.052984713370627
2021-07-05 00:19:00,25.2225974704601,25.229546293416696,26.401286445026106,26.402766427565496,25.218273633021916,25.456471127769312,26.416415186247,26.399760867991176,26.40004803121618,24.057282088433073
2021-07-05 00:20:00,25.224667097954427,25.232397923525244,26.401496214354847,26.4031898845191,25.219954758831776,25.468921065361517,26.41849902520004,26.399744180924397,26.400057862491714,24.061694303387913
2021-07-05 00:21:00,25.22679522460823,25.23535029820051,26.40172420984377,26.403649684525465,25.22168525935629,25.481267880084893,26.420677990300437,26.39972782510046,26.40006901450274,24.066217866697833
2021-07-05 00:22:00,25.228978678829815,25.23840004000074,26.401970645654103,26.404146523029986,25.223462720117347,25.49351675192738,26.422948904880577,26.399711878025514,26.40008157585062,24.070849391553708
2021-07-05 00:23:00,25.231214440840553,25.241543885470517,26.40223569222853,26.40468102307741,25.22528484332882,25.505668768623682,26.42530869481518,26.39969641249625,26.400095634470816,24.075585592325837
2021-07-05 00:24:00,25.23349963570689,25.244778680818047,26.402519479819084,26.405253739407037,25.22714944063406,25.51772435974763,26.427754385019306,26.399681496095784,26.40011127743228,24.080423281141098
2021-07-05 00:25:00,25.235831526740085,25.24810137785667,26.402822101752843,26.405865162342575,25.22905442738569,25.529683996832688,26.43028309613822,26.39966719349046,26.40012859075845,24.085359364940576
2021-07-05 00:26:00,25.238207509197093,25.25150903012108,26.403143617477152,26.40651572148591,25.230997817609172,25.541548189701047,26.4328920457903,26.39965356564137,26.400147659267592,24.090390842428103
2021-07-05 00:27:00,25.240625104262925,25.254998789139492,26.403484055397833,26.40720578922485,25.23297771923528,25.55331748310337,26.43557863078204,26.399640669950788,26.400168566431482,24.095514801076334
2021-07-05 00:28:00,25.243081953290798,25.25856790085495,26.40384341552395,26.40793568406399,25.234992329572936,25.564992453614327,26.43834038193925,26.399628560405812,26.400191394251387,24.100728414174142
2021-07-05 00:29:00,25.245575812239768,25.262213702190174,26.40422167193102,26.40870567378651,25.237039931000382,25.576573706748892,26.441174927423567,26.399617287719426,26.400216223149222,24.106028938038044
2021-07-05 00:30:00,25.24810454658641,25.265933617749013,26.404618775054278,26.40951597845531,25.239118886895746,25.588061874283163,26.444079965141903,26.399606899468377,26.400243131872838,24.111413709330726
2021-07-05 00:31:00,25.250502840330434,25.269598782968405,26.40502752476872,26.41035994917396,25.241093654189722,25.5878684663878,26.446977937576303,26.39959930140978,26.400271857040124,24.122296026335867
2021-07-05 00:32:00,25.252801665354845,25.273171691282737,26.405452882883097,26.411241434329735,25.242988086713858,25.587680793999006,26.44979614750516,26.39959276536751,26.400302788964424,24.132901092325483
