"< Measurement Data Text Output >"
""
"Date/Time","@date()","649","650","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","ßC","","","","","",""
"2021/11/15 17:25'01","44515.7257060185","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:26'01","44515.7264004630","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:27'01","44515.7270949074","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:28'01","44515.7277893519","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:29'01","44515.7284837963","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:30'01","44515.7291782407","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:31'01","44515.7298726852","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:32'01","44515.7305671296","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:33'01","44515.7312615741","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:34'01","44515.7319560185","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:35'01","44515.7326504630","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:36'01","44515.7333449074","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:37'01","44515.7340393519","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:38'01","44515.7347337963","  26.0000","  26.0000","","","","","","",
"2021/11/15 17:39'01","44515.7354282407","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:40'01","44515.7361226852","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:41'01","44515.7368171296","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:42'01","44515.7375115741","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:43'01","44515.7382060185","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:44'01","44515.7389004630","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:45'01","44515.7395949074","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:46'01","44515.7402893519","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:47'01","44515.7409837963","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:48'01","44515.7416782407","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:49'01","44515.7423726852","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:50'01","44515.7430671296","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:51'01","44515.7437615741","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:52'01","44515.7444560185","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:53'01","44515.7451504630","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:54'01","44515.7458449074","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:55'01","44515.7465393519","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:56'01","44515.7472337963","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:57'01","44515.7479282407","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:58'01","44515.7486226852","  26.0000","  26.1000","","","","","","",
"2021/11/15 17:59'01","44515.7493171296","  26.0000","  26.1000","","","","","","",
"2021/11/15 18:00'01","44515.7500115741","  26.0000","  26.0000","","","","","","",
"2021/11/15 18:01'01","44515.7507060185","  26.0000","  26.0000","","","","","","",
"2021/11/15 18:02'01","44515.7514004630","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:03'01","44515.7520949074","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:04'01","44515.7527893519","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:05'01","44515.7534837963","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:06'01","44515.7541782407","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:07'01","44515.7548726852","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:08'01","44515.7555671296","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:09'01","44515.7562615741","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:10'01","44515.7569560185","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:11'01","44515.7576504630","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:12'01","44515.7583449074","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:13'01","44515.7590393519","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:14'01","44515.7597337963","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:15'01","44515.7604282407","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:16'01","44515.7611226852","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:17'01","44515.7618171296","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:18'01","44515.7625115741","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:19'01","44515.7632060185","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:20'01","44515.7639004630","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:21'01","44515.7645949074","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:22'01","44515.7652893519","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:23'01","44515.7659837963","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:24'01","44515.7666782407","  25.9000","  26.0000","","","","","","",
"2021/11/15 18:25'01","44515.7673726852","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:26'01","44515.7680671296","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:27'01","44515.7687615741","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:28'01","44515.7694560185","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:29'01","44515.7701504630","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:30'01","44515.7708449074","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:31'01","44515.7715393519","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:32'01","44515.7722337963","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:33'01","44515.7729282407","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:34'01","44515.7736226852","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:35'01","44515.7743171296","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:36'01","44515.7750115741","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:37'01","44515.7757060185","  25.8000","  26.0000","","","","","","",
"2021/11/15 18:38'01","44515.7764004630","  25.8000","  26.0000","","","","","","",
